Species,Common name,Review ID,Zotero ID,Method,Site ID,Longitude,Latitude,Radius,Site Location,Sampling,#IDs,#routes,#conns,Years,Months start,Months end,Months sampled,Activities,Comments,,,,,,
ISPL,Sailfish,EHA8KC6T_Luo_etal_2015_Ispl,EHA8KC6T,T,A,-81.9,24.2,1,Florida keys/edge of Florida current,POP-UP SATELLITE ARCHIVAL (PSAT),1,1,,2005,MAY,MAY,,OBS,,,,,,,
ISPL,Sailfish,EHA8KC6T_Luo_etal_2015_Ispl,EHA8KC6T,T,B,-86.5,26.25,1,north/northwest Gulf of Mexico near the Loop Current,POP-UP SATELLITE ARCHIVAL (PSAT),1,1,,2005,JUL,JUL,,OBS,,,,,,,
ISPL,Sailfish,EHA8KC6T_Luo_etal_2015_Ispl,EHA8KC6T,T,C,-80,20,10,western central Atlantic Ocean,POP-UP SATELLITE ARCHIVAL (PSAT),8,,,,(UNK),(UNK),,OBS,,,,,,,
ISPL,Sailfish,W49B9SZ9_Ortiz_etal_2003_Ispl,W49B9SZ9,MR,A,-74.607262,36.584122,5,Mid-Atlantic US coast,UNK (Mark-recapture),1,,1,,(UNK),(UNK),,OBS,,,,,,,
ISPL,Sailfish,W49B9SZ9_Ortiz_etal_2003_Ispl,W49B9SZ9,MR,B,-53.681952,6.723885,5,South Atlantic near French Guiana,UNK (Mark-recapture),1,,1,,(UNK),(UNK),,OBS,,,,,,,
ISPL,Sailfish,W49B9SZ9_Ortiz_etal_2003_Ispl,W49B9SZ9,MR,C,-74.456274,34.351753,5,western north Atlantic off US eastern seaboard,UNK (Mark-recapture),Unk,,,,(UNK),(UNK),,OBS,,,,,,,
ISPL,Sailfish,W49B9SZ9_Ortiz_etal_2003_Ispl,W49B9SZ9,MR,D,-90.023631,25.976548,5,Gulf of Mexico,UNK (Mark-recapture),Unk,,,,(UNK),(UNK),,OBS,,,,,,,
ISPL,Sailfish,W49B9SZ9_Ortiz_etal_2003_Ispl,W49B9SZ9,MR,E,-87.379111,23.393047,5,Mexican Caribbean,UNK (Mark-recapture),Unk,,,,(UNK),(UNK),,OBS,,,,,,,
ISPL,Sailfish,W49B9SZ9_Ortiz_etal_2003_Ispl,W49B9SZ9,MR,F,-63.500059,11.851594,5,northern coast of Venezuela,UNK (Mark-recapture),Unk,,,,(UNK),(UNK),,OBS,,,,,,,
ISPL,Sailfish,W49B9SZ9_Ortiz_etal_2003_Ispl,W49B9SZ9,MR,G,119.429601,-19.600704,5,western coast of Australia,UNK (Mark-recapture),Unk,,,,(UNK),(UNK),,OBS,,,,,,,
ISPL,Sailfish,W49B9SZ9_Ortiz_etal_2003_Ispl,W49B9SZ9,MR,H,40.242927,-5.396396,5,eastern coast of Africa near Tanzania,UNK (Mark-recapture),Unk,,,,(UNK),(UNK),,OBS,,,,,,,
ISPL,Sailfish,W49B9SZ9_Ortiz_etal_2003_Ispl,W49B9SZ9,MR,I,2.490171,5.47259,5,west coast of Africa,UNK (Mark-recapture),Unk,,,,(UNK),(UNK),,OBS,,,,,,,
ISPL,Sailfish,W49B9SZ9_Ortiz_etal_2003_Ispl,W49B9SZ9,MR,J,52.395181,26.688069,5,Persian Gulf,UNK (Mark-recapture),Unk,,,,(UNK),(UNK),,OBS,,,,,,,
ISPL,Sailfish,W49B9SZ9_Ortiz_etal_2003_Ispl,W49B9SZ9,MR,K,145.731311,-4.647305,5,Papua New Guinea,UNK (Mark-recapture),Unk,,,,(UNK),(UNK),,OBS,,,,,,,
ISPL,Sailfish,W49B9SZ9_Ortiz_etal_2003_Ispl,W49B9SZ9,MR,L,153.401867,-26.493322,5,eastern coast of Australia,UNK (Mark-recapture),Unk,,,,(UNK),(UNK),,OBS,,,,,,,
ISPL,Sailfish,W49B9SZ9_Ortiz_etal_2003_Ispl,W49B9SZ9,MR,M,-106.333129,16.771415,10,Pacific coast of Central America,UNK (Mark-recapture),Unk,,,,(UNK),(UNK),,OBS,,,,,,,
ISPL,Sailfish,W49B9SZ9_Ortiz_etal_2003_Ispl,W49B9SZ9,MR,N,-43.764682,-23.991931,5,Atlantic Coast of Brazil,UNK (Mark-recapture),Unk,,,,(UNK),(UNK),,OBS,,,,,,,
ISPL,Sailfish,PBV6T5H6_Chiang_etal_2011_Ispl,PBV6T5H6,T,A,121.3,22.94,1,Southeast Taiwan,POP-UP SATELLITE ARCHIVAL (PSAT),4,3,,2008,MAY; JUL,(UNK),,FEE,,,,,,,
ISPL,Sailfish,PBV6T5H6_Chiang_etal_2011_Ispl,PBV6T5H6,T,B,129.5,30.3,1,Near Yakushima Island,POP-UP SATELLITE ARCHIVAL (PSAT),2,1,,2008,(UNK),MAY,,FEE,,,,,,,
ISPL,Sailfish,PBV6T5H6_Chiang_etal_2011_Ispl,PBV6T5H6,T,C,125.5,26.6,5,Near Okinawa,POP-UP SATELLITE ARCHIVAL (PSAT),2,1,,2008,(UNK),JUN,,FEE,,,,,,,
ISPL,Sailfish,PBV6T5H6_Chiang_etal_2011_Ispl,PBV6T5H6,T,D,125,30.7,5,Kagoshima Island,POP-UP SATELLITE ARCHIVAL (PSAT),2,1,,2008,(UNK),AUG,,FEE,,,,,,,
ISPL,Sailfish,455832VT_Prince_etal_2006_Ispl,455832VT,T,A,-90.8,13.5,1,ETP Guatemala,POP-UP SATELLITE ARCHIVAL (PSAT),1,,1,2000,AUG,AUG,,OBS,,,,,,,
ISPL,Sailfish,455832VT_Prince_etal_2006_Ispl,455832VT,T,B,-78.4,7.5,1,ETP Panama,POP-UP SATELLITE ARCHIVAL (PSAT),1,,,2002,SEP,SEP,,OBS,,,,,,,
ISPL,Sailfish,455832VT_Prince_etal_2006_Ispl,455832VT,T,C,-84.7,9.5,1,ETP Costa Rica,POP-UP SATELLITE ARCHIVAL (PSAT),7,,3,2003,MAR,MAR,,OBS,,,,,,,
ISPL,Sailfish,455832VT_Prince_etal_2006_Ispl,455832VT,T,D,-76,28.7,10,WNA Florida,POP-UP SATELLITE ARCHIVAL (PSAT),5,,3,2003,MAR; APR,MAR; APR,,OBS,,,,,,,
ISPL,Sailfish,455832VT_Prince_etal_2006_Ispl,455832VT,T,E,-97.01,14.5,5,Oaxaca offshore,POP-UP SATELLITE ARCHIVAL (PSAT),1,,1,2000,SEP,SEP,,OBS,,,,,,,
ISPL,Sailfish,455832VT_Prince_etal_2006_Ispl,455832VT,T,F,-91,7.5,5,Costa Rica Offshore,POP-UP SATELLITE ARCHIVAL (PSAT),2,,1,2003,MAR; APR,MAR; APR,,OBS,,,,,,,
ISPL,Sailfish,455832VT_Prince_etal_2006_Ispl,455832VT,T,G,-99.5,2.25,5,Central America Pacific Ocean,POP-UP SATELLITE ARCHIVAL (PSAT),4,,1,2003,APR; MAY,APR; MAY,,OBS,,,,,,,
ISPL,Sailfish,455832VT_Prince_etal_2006_Ispl,455832VT,T,H,-81.5,6,5,Panama waters,POP-UP SATELLITE ARCHIVAL (PSAT),1,,1,2003,APR,APR,,OBS,,,,,,,
ISPL,Sailfish,455832VT_Prince_etal_2006_Ispl,455832VT,T,I,-78.5,24.5,5,Bahamas,POP-UP SATELLITE ARCHIVAL (PSAT),1,,1,2003,APR,APR,,OBS,,,,,,,
ISPL,Sailfish,455832VT_Prince_etal_2006_Ispl,455832VT,T,J,-80,25,5,southeast US coast,POP-UP SATELLITE ARCHIVAL (PSAT),1,,1,2003,APR,APR,,OBS,,,,,,,
ISPL,Sailfish,455832VT_Prince_etal_2006_Ispl,455832VT,T,K,-73,27,10,southwest North Atlantic,POP-UP SATELLITE ARCHIVAL (PSAT),1,,1,2003,JUN,JUN,,OBS,,,,,,,
KAAL,White Marlin,58MF2BAU_Jones_1996_KAAL,58MF2BAU,MR,A,-61.244684,33.881198,10,western Atlantic off eastern U.S.,UNK (Mark-recapture),426,,1,1994; 1995,(UNK),(UNK),,OBS,Vague broad descriptive location without any figuers,,,,,,
KAAL,White Marlin,58MF2BAU_Jones_1996_KAAL,58MF2BAU,MR,B,-66.929519,10.607584,1,"La Guaira, Venezuela",UNK (Mark-recapture),136,,5,1994; 1995,(UNK),(UNK),,OBS,,,,,,,
KAAL,White Marlin,58MF2BAU_Jones_1996_KAAL,58MF2BAU,MR,C,-87.217021,30.375722,1,Florida Panhandle,UNK (Mark-recapture),119,,1,1994; 1995,(UNK),(UNK),,OBS,,,,,,,
KAAL,White Marlin,58MF2BAU_Jones_1996_KAAL,58MF2BAU,MR,D,-49.94328,42.906397,10,central west Atlantic,UNK (Mark-recapture),69,,,1994; 1995,(UNK),(UNK),,OBS,Vague broad descriptive location without any figuers,,,,,,
KAAL,White Marlin,58MF2BAU_Jones_1996_KAAL,58MF2BAU,MR,E,-75,30,5,north Florida to Carolinas offshore,UNK (Mark-recapture),56,,3,1994; 1995,(UNK),(UNK),,OBS,,,,,,,
KAAL,White Marlin,58MF2BAU_Jones_1996_KAAL,58MF2BAU,MR,F,-94.994701,26.756363,5,Texas waters,UNK (Mark-recapture),52,,,1994; 1995,APR; AUG; (UNK),APR; AUG; (UNK),,OBS,,,,,,,
KAAL,White Marlin,58MF2BAU_Jones_1996_KAAL,58MF2BAU,MR,G,-78.313786,25.364173,1,the northern Bahamas,UNK (Mark-recapture),37,,2,1994; 1995,(UNK),(UNK),,OBS,,,,,,,
KAAL,White Marlin,58MF2BAU_Jones_1996_KAAL,58MF2BAU,MR,H,-90.622463,26.575409,5,offshore Louisiana waters,UNK (Mark-recapture),33,,,1994; 1995,(UNK),(UNK),,OBS,,,,,,,
KAAL,White Marlin,58MF2BAU_Jones_1996_KAAL,58MF2BAU,MR,I,-86.811627,20.370097,1,"Cozumel, Mexico",UNK (Mark-recapture),1,,1,1993,APR,APR,,OBS,,,,,,,
KAAL,White Marlin,58MF2BAU_Jones_1996_KAAL,58MF2BAU,MR,J,-40,20,5,eastern central Atlantic Ocean,UNK (Mark-recapture),1,,1,1994,JAN,JAN,,OBS,,,,,,,
KAAL,White Marlin,58MF2BAU_Jones_1996_KAAL,58MF2BAU,MR,K,-79.569183,26.547012,5,southeast Florida waters,UNK (Mark-recapture),2,,2,1994; 1995,(UNK),(UNK),,OBS,,,,,,,
KAAL,White Marlin,58MF2BAU_Jones_1996_KAAL,58MF2BAU,MR,L,-69.08094,19.117069,5,Hispaniola waters,UNK (Mark-recapture),1,,1,1994; 1995,(UNK),(UNK),,OBS,,,,,,,
KAAL,White Marlin,58MF2BAU_Jones_1996_KAAL,58MF2BAU,MR,M,-64.20141,10.480658,5,Cumana waters,UNK (Mark-recapture),10,,3,1994; 1995,(UNK),(UNK),,OBS,,,,,,,
KAAL,White Marlin,58MF2BAU_Jones_1996_KAAL,58MF2BAU,MR,N,-65.855051,11.596382,5,Venezuelan waters,UNK (Mark-recapture),3,,1,1994; 1995,(UNK),(UNK),,OBS,,,,,,,
KAAL,White Marlin,58MF2BAU_Jones_1996_KAAL,58MF2BAU,MR,O,-66.400146,18.540403,5,Puerto Rican waters,UNK (Mark-recapture),1,,1,1994; 1995,(UNK),(UNK),,OBS,,,,,,,
KAAL,White Marlin,D9AE25Q7_Prince_etal_2005_Kaal,D9AE25Q7,T,A,-68.02,18.48,1,"Mona Passage, Dominican Republic",POP-UP SATELLITE ARCHIVAL (PSAT),8,,4,2003,(UNK),(UNK),,SPA,,,,,,,
KAAL,White Marlin,D9AE25Q7_Prince_etal_2005_Kaal,D9AE25Q7,T,B,-68,19.18,1,Atlantic Coast of Dominican Republic,POP-UP SATELLITE ARCHIVAL (PSAT),1,,1,2003,(UNK),(UNK),,OBS,,,,,,,
KAAL,White Marlin,D9AE25Q7_Prince_etal_2005_Kaal,D9AE25Q7,T,C,-66.22,19.63,1,Atlantic Coast of Puerto Rico,POP-UP SATELLITE ARCHIVAL (PSAT),2,,1,2003,(UNK),(UNK),,OBS,,,,,,,
KAAL,White Marlin,D9AE25Q7_Prince_etal_2005_Kaal,D9AE25Q7,T,D,-65.67,17.03,1,Caribbean Coast of Puerto Rico,POP-UP SATELLITE ARCHIVAL (PSAT),1,,,2003,(UNK),(UNK),,OBS,,,,,,,
KAAL,White Marlin,D9AE25Q7_Prince_etal_2005_Kaal,D9AE25Q7,T,E,-68.34,13.56,1,Caribbean Sea north of Curacao,POP-UP SATELLITE ARCHIVAL (PSAT),1,,1,2003,(UNK),(UNK),,OBS,,,,,,,
KAAL,White Marlin,Schlenker_etal_2015_KVXTMFUU_Kaal,KVXTMFUU,T,A,-73.79,38.14,5,"US mid-Atlantic coast (Norfolk, VA, Washington, and Baltimore, MD submarine canyons)",POP-UP SATELLITE ARCHIVAL (PSAT),23,,,2012; 2013,(UNK),(UNK),,OBS,,,,,,,
KAAU,Striped Marlin,I6U46GZA_Holdsworth_etal_2009_Kaau,I6U46GZA,T,A,172.4,-33.07,5,Northern New Zealand,POP-UP SATELLITE ARCHIVAL TAG (PSAT); SATELLITE TAG (ARGOS),27,1,,2005; 2006; 2007,JAN; FEB; MAR; APR,(UNK),,OBS,,,,,,,
KAAU,Striped Marlin,I6U46GZA_Holdsworth_etal_2009_Kaau,I6U46GZA,T,B,-133,-20,1,Central South Pacific,SATELLITE TAG (ARGOS),2,1,,2007,(UNK),SEP,,OBS,,,,,,,
KAAU,Striped Marlin,JNZ75T55_Sippel_etal_2011_Kaau,JNZ75T55,T,A,172.4,-33.07,5,North New Zealand,POP-UP SATELLITE ARCHIVAL TAG (PSAT); SATELLITE TAG (ARGOS),26,2,,2005; 2006; 2007; 2008,JAN; FEB; MAR; APR,(UNK),,FEE,,,,,,,
KAAU,Striped Marlin,JNZ75T55_Sippel_etal_2011_Kaau,JNZ75T55,T,B,175.08,-21.79,10,"Pacific Ocean near New Caledonia, Fiji, and Tonga",POP-UP SATELLITE ARCHIVAL TAG (PSAT); SATELLITE TAG (ARGOS),16,1,,2005; 2006; 2007; 2008,(UNK),MAR; APR; MAY; JUN; JUL; AUG,,OBS,,,,,,,
KAAU,Striped Marlin,JNZ75T55_Sippel_etal_2011_Kaau,JNZ75T55,T,C,-146.03,-23.77,10,Central South Pacific,POP-UP SATELLITE ARCHIVAL TAG (PSAT); SATELLITE TAG (ARGOS),3,1,,2007,(UNK),MAY; JUN,,OBS,,,,,,,
KAAU,Striped Marlin,ECQ28VDI_Lam_etal_2015_KAAU,ECQ28VDI,T,A,-118.0119,32.3124,5,Southern California,POP-UP SATELLITE ARCHIVAL (PSAT),17,,4,2000; 2001; 2002; 2003; 2004; 2005; 2006,JUL; AUG; SEP; OCT,JAN; AUG; SEP; OCT,,OBS,,,,,,,
KAAU,Striped Marlin,ECQ28VDI_Lam_etal_2015_KAAU,ECQ28VDI,T,AA,-174.3849,-19.593,1,Tonga Islands,POP-UP SATELLITE ARCHIVAL (PSAT),3,,1,2000; 2001; 2002; 2003; 2004; 2005; 2006,APR; MAY,APR; MAY,,OBS,,,,,,,
KAAU,Striped Marlin,ECQ28VDI_Lam_etal_2015_KAAU,ECQ28VDI,T,AB,-160,-29,5,Southeast Pacific Ocean,POP-UP SATELLITE ARCHIVAL (PSAT),2,,1,2000; 2001; 2002; 2003; 2004; 2005; 2006,MAY,JUN,,OBS,,,,,,,
KAAU,Striped Marlin,ECQ28VDI_Lam_etal_2015_KAAU,ECQ28VDI,T,AC,-176.2348,-25.2436,5,North/Northeast of New Zealand,POP-UP SATELLITE ARCHIVAL (PSAT),7,,3,2000; 2001; 2002; 2003; 2004; 2005; 2006,FEB; MAR; APR; MAY,MAR; APR; MAY,,OBS,,,,,,,
KAAU,Striped Marlin,ECQ28VDI_Lam_etal_2015_KAAU,ECQ28VDI,T,AD,170.3338,-19.0205,5,Waters between Cadelonia and Fiji (Coral Sea/Pacific Ocean),POP-UP SATELLITE ARCHIVAL (PSAT),10,,3,2000; 2001; 2002; 2003; 2004; 2005; 2006,MAR; APR; MAY; JUN; OCT,MAR; MAY; JUL; AUG; SEP; OCT; NOV,,OBS,,,,,,,
KAAU,Striped Marlin,ECQ28VDI_Lam_etal_2015_KAAU,ECQ28VDI,T,AE,-149.2246,-17.3808,5,French Polynesia/Iles du D??sappointement,POP-UP SATELLITE ARCHIVAL (PSAT),4,,1,2000; 2001; 2002; 2003; 2004; 2005; 2006,JUN; AUG,JUL; AUG; SEP,,OBS,,,,,,,
KAAU,Striped Marlin,ECQ28VDI_Lam_etal_2015_KAAU,ECQ28VDI,T,AF,160.1005,-9.3508,5,Solomon Islands,POP-UP SATELLITE ARCHIVAL (PSAT),2,,2,2000; 2001; 2002; 2003; 2004; 2005; 2006,AUG,OCT,,OBS,,,,,,,
KAAU,Striped Marlin,ECQ28VDI_Lam_etal_2015_KAAU,ECQ28VDI,T,B,-157.97,21.21,5,Hawaii,POP-UP SATELLITE ARCHIVAL (PSAT),7,,2,2000; 2001; 2002; 2003; 2004; 2005; 2006,FEB; MAR; NOV,FEB; MAR; APR; MAY; DEC,,OBS,,,,,,,
KAAU,Striped Marlin,ECQ28VDI_Lam_etal_2015_KAAU,ECQ28VDI,T,C,-111.704,27.557,5,La Paz/Gulf of California,POP-UP SATELLITE ARCHIVAL (PSAT),24,,5,2000; 2001; 2002; 2003; 2004; 2005; 2006,JAN; FEB; MAY; JUN; JUL; DEC,JAN; FEB; MAY; JUN; JUL; AUG; SEP; DEC,,OBS,These are very different places but the Gulf is the best fit ,,,"(La Paz is in the Gulf of California, they are not so different - BP)",,,
KAAU,Striped Marlin,ECQ28VDI_Lam_etal_2015_KAAU,ECQ28VDI,T,D,-112,24.5833,5,Madalegna Bay,POP-UP SATELLITE ARCHIVAL (PSAT),57,,3,2000; 2001; 2002; 2003; 2004; 2005; 2006,MAY; JUL; AUG; OCT; NOV; DEC,JAN; FEB; MAR; AUG; OCT; NOV; DEC,,OBS,,,,,,,
KAAU,Striped Marlin,ECQ28VDI_Lam_etal_2015_KAAU,ECQ28VDI,T,E,-90.2508,-0.2212,5,Galapagos Islands,POP-UP SATELLITE ARCHIVAL (PSAT),19,,7,2000; 2001; 2002; 2003; 2004; 2005; 2006,FEB; MAR; JUN,FEB; MAR; APR; MAY; JUN,,OBS,,,,,,,
KAAU,Striped Marlin,ECQ28VDI_Lam_etal_2015_KAAU,ECQ28VDI,T,F,-80.96,-2.189,5,"Salinas, Ecuador",POP-UP SATELLITE ARCHIVAL (PSAT),2,,1,2000; 2001; 2002; 2003; 2004; 2005; 2006,MAR,MAR,,OBS,,,,,,,
KAAU,Striped Marlin,ECQ28VDI_Lam_etal_2015_KAAU,ECQ28VDI,T,G,-84.02,9.23,5,Costa Rica,POP-UP SATELLITE ARCHIVAL (PSAT),1,,1,2000; 2001; 2002; 2003; 2004; 2005; 2006,FEB,FEB,,OBS,,,,,,,
KAAU,Striped Marlin,ECQ28VDI_Lam_etal_2015_KAAU,ECQ28VDI,T,H,-80.36,8.186,5,Panama,POP-UP SATELLITE ARCHIVAL (PSAT),1,,,2000; 2001; 2002; 2003; 2004; 2005; 2006,JAN,APR,,OBS,,,,,,,
KAAU,Striped Marlin,ECQ28VDI_Lam_etal_2015_KAAU,ECQ28VDI,T,I,174.7608396,-36.9025889,5,"Three Kings, New Zealand",POP-UP SATELLITE ARCHIVAL (PSAT),24,,11,2000; 2001; 2002; 2003; 2004; 2005; 2006,FEB; MAR; APR; MAY; JUN,FEB; MAR; APR; MAY; JUN,,OBS,,,,,,,
KAAU,Striped Marlin,ECQ28VDI_Lam_etal_2015_KAAU,ECQ28VDI,T,J,174.2933,-34.5152,5,"East Northland, New Zealand",POP-UP SATELLITE ARCHIVAL (PSAT),4,,2,2000; 2001; 2002; 2003; 2004; 2005; 2006,APR,APR,,OBS,,,,,,,
KAAU,Striped Marlin,ECQ28VDI_Lam_etal_2015_KAAU,ECQ28VDI,T,K,152.3044,-32.5545,5,southeast coast of Australia (Tasmanian Sea/New South Wales),POP-UP SATELLITE ARCHIVAL (PSAT),14,,2,2000; 2001; 2002; 2003; 2004; 2005; 2006,FEB; MAR; APR; MAY; JUN,MAR; APR; MAY; JUN; JUL,,OBS,,,,,,,
KAAU,Striped Marlin,ECQ28VDI_Lam_etal_2015_KAAU,ECQ28VDI,T,L,153.1822,-26.1824,5,northeast coast of Australia (Coral Sea/Queensland),POP-UP SATELLITE ARCHIVAL (PSAT),8,,2,2000; 2001; 2002; 2003; 2004; 2005; 2006,APR; MAY; JUN; JUL,APR; MAY; JUN; JUL,,OBS,,,,,,,
KAAU,Striped Marlin,ECQ28VDI_Lam_etal_2015_KAAU,ECQ28VDI,T,M,-116.4018,30.3627,5,Baja California,POP-UP SATELLITE ARCHIVAL (PSAT),11,,4,2000; 2001; 2002; 2003; 2004; 2005; 2006,JUL; AUG; SEP; OCT,JUL; AUG; SEP; OCT; NOV,,OBS,,,,,,,
KAAU,Striped Marlin,ECQ28VDI_Lam_etal_2015_KAAU,ECQ28VDI,T,N,-118,5,5,"(5, -118)",POP-UP SATELLITE ARCHIVAL (PSAT),1,,1,2000; 2001; 2002; 2003; 2004; 2005; 2006,FEB,FEB,,OBS,,,,,,,
KAAU,Striped Marlin,ECQ28VDI_Lam_etal_2015_KAAU,ECQ28VDI,T,O,-115,20,5,"(~18-22, -112-120)
",POP-UP SATELLITE ARCHIVAL (PSAT),7,,4,2000; 2001; 2002; 2003; 2004; 2005; 2006,JAN; OCT; NOV; DEC,JAN; FEB; NOV; DEC,,OBS,,,,,,,
KAAU,Striped Marlin,ECQ28VDI_Lam_etal_2015_KAAU,ECQ28VDI,T,P,-112.3251,24.3724,5,Baja California Sur,POP-UP SATELLITE ARCHIVAL (PSAT),16,,7,2000; 2001; 2002; 2003; 2004; 2005; 2006,JAN; FEB; MAY; JUN; JUL; AUG; OCT; NOV; DEC,JAN; FEB; MAY; AUG; SEP; OCT; NOV; DEC,,OBS,,,,,,,
KAAU,Striped Marlin,ECQ28VDI_Lam_etal_2015_KAAU,ECQ28VDI,T,Q,-89,8,1,"(8, -89)",POP-UP SATELLITE ARCHIVAL (PSAT),1,,1,2000; 2001; 2002; 2003; 2004; 2005; 2006,APR,APR,,OBS,,,,,,,
KAAU,Striped Marlin,ECQ28VDI_Lam_etal_2015_KAAU,ECQ28VDI,T,R,-90.5217,3.115,5,North of Galapagos Islands,POP-UP SATELLITE ARCHIVAL (PSAT),11,,4,2000; 2001; 2002; 2003; 2004; 2005; 2006,MAR; APR; MAY,MAR; APR; MAY; JUN,,OBS,,,,,,,
KAAU,Striped Marlin,ECQ28VDI_Lam_etal_2015_KAAU,ECQ28VDI,T,S,-90.3437,-2.5547,5,South of Galapagos Islands,POP-UP SATELLITE ARCHIVAL (PSAT),4,,3,2000; 2001; 2002; 2003; 2004; 2005; 2006,FEB; MAR; MAY,MAR; APR; MAY,,OBS,,,,,,,
KAAU,Striped Marlin,ECQ28VDI_Lam_etal_2015_KAAU,ECQ28VDI,T,T,-105,15,5,"(15, -105)",POP-UP SATELLITE ARCHIVAL (PSAT),1,,1,2000; 2001; 2002; 2003; 2004; 2005; 2006,APR,MAY,,OBS,,,,,,,
KAAU,Striped Marlin,ECQ28VDI_Lam_etal_2015_KAAU,ECQ28VDI,T,U,-85,-9,5,"(-9, -85)",POP-UP SATELLITE ARCHIVAL (PSAT),1,,1,2000; 2001; 2002; 2003; 2004; 2005; 2006,APR,MAY,,OBS,,,,,,,
KAAU,Striped Marlin,ECQ28VDI_Lam_etal_2015_KAAU,ECQ28VDI,T,V,-103,-5,5,"(-5, -103)",POP-UP SATELLITE ARCHIVAL (PSAT),1,,1,2000; 2001; 2002; 2003; 2004; 2005; 2006,JUN,JUN,,OBS,,,,,,,
KAAU,Striped Marlin,ECQ28VDI_Lam_etal_2015_KAAU,ECQ28VDI,T,W,-171,30,5,"(~27-32, -165-176)",POP-UP SATELLITE ARCHIVAL (PSAT),3,,1,2000; 2001; 2002; 2003; 2004; 2005; 2006,MAY; JUN; JUL,MAY; JUL,,OBS,,,,,,,
KAAU,Striped Marlin,ECQ28VDI_Lam_etal_2015_KAAU,ECQ28VDI,T,X,-160,13,5,"(13, -160)",POP-UP SATELLITE ARCHIVAL (PSAT),1,,1,2000; 2001; 2002; 2003; 2004; 2005; 2006,APR,APR,,OBS,,,,,,,
KAAU,Striped Marlin,ECQ28VDI_Lam_etal_2015_KAAU,ECQ28VDI,T,Y,-104.102,15.3236,5,Central Mexico Pacific waters,POP-UP SATELLITE ARCHIVAL (PSAT),43,,6,2000; 2001; 2002; 2003; 2004; 2005; 2006,JAN; FEB; MAR; APR; MAY; JUL; OCT; DEC,JAN; FEB; MAR; APR; MAY; JUN; JUL; AUG; OCT; DEC,,OBS,,,,,,,
KAAU,Striped Marlin,ECQ28VDI_Lam_etal_2015_KAAU,ECQ28VDI,T,Z,167.89,-29.02,5,Norfolk Island,POP-UP SATELLITE ARCHIVAL (PSAT),4,,4,2000; 2001; 2002; 2003; 2004; 2005; 2006,FEB; MAR; APR,MAR; APR; JUN,,OBS,,,,,,,
KAPE,Skipjack Tuna,575UAEAG_Schaefer_etal_2009_Kape,575UAEAG,MR,A,-95,2,10,"Eastern Tropical Pacific near Tropical Atmosphere-Ocean (TAO) Mooring (2.0, -95.0)",Non Geolocating Archival tags (mark/recap),6,,1,2004,(UNK),(UNK),,OBS,,,,,,,
KAPE,Skipjack Tuna,575UAEAG_Schaefer_etal_2009_Kape,575UAEAG,MR,B,-118,-2,5,"Farther Eastern Tropical Pacific (near -2.0, -119.0)",Non Geolocating Archival tags (mark/recap),2,,1,2004,(UNK),(UNK),,OBS,,,,,,,
KAPE,Skipjack Tuna,NSAVUQKB_Schaefer_and_Fuller_2013_Kape,NSAVUQKB,MR,A,-104,3,5,Eastern Pacific Ocean (between 1-5?? N and 102-105?? W),ACOUSTIC/SONIC TAG (MARK-RECAP); ACOUSTIC/SONIC TAG (TELEMETRY),27,,,2011,MAY; JUN; JUL,(UNK),,FEE,,,,,,,
KAPE,Skipjack Tuna,NSAVUQKB_Schaefer_and_Fuller_2013_Kape,NSAVUQKB,T,A,-104,3,5,Eastern Pacific Ocean (between 1-5?? N and 102-105?? W),ACOUSTIC/SONIC TAG (MARK-RECAP); ACOUSTIC/SONIC TAG (TELEMETRY),27,,,2011,MAY; JUN; JUL,(UNK),,FEE,,,,,,,
KAPE,Skipjack Tuna,SIUN8NH4_Govinden_etal_2013_Kape,SIUN8NH4,MR,A,73.15,3.5,5,"Dhiffushi, Maldives",ACOUSTIC/SONIC TAG (MARK-RECAP),41,,,2009,JAN; NOV,JAN; NOV,,OBS,,,,,,,
KAPE,Skipjack Tuna,WTSBKFEA_Bard_and_Bannerman_2002_Kape,WTSBKFEA,MR,A,0,3,5,"Inner part of Gulf of Guinea (2 deg S to 4 deg 30N, 5 deg E to 4 deg W)",FLIPPER TAG,,,,2000; 2001,APR; MAY; JUL; AUG; SEP; OCT; NOV; DEC,APR; MAY; JUL; AUG; SEP; OCT; NOV; DEC,,FEE,,,,,,,
KAPE,Skipjack Tuna,WTSBKFEA_Bard_and_Bannerman_2002_Kape,WTSBKFEA,MR,B,6,0,5,"Triangle limited by Sao Tome Island (0 deg N, 6 deg E), Cape Lopez, and coast of Africa",FLIPPER TAG,,,,2001; 2002,APR; MAY; JUL; AUG,APR; MAY; JUL; AUG,,FEE,,,,,,,
KAPE,Skipjack Tuna,WWGACN4G_Leroy_etal_2009_Kape,WWGACN4G,MR,A,149.5,-5,1,FAD C,ACOUSTIC/SONIC TAG (MARK-RECAP),19,,,2007,MAR,MAY,,FEE,,,,,,,
KAPE,Skipjack Tuna,WWGACN4G_Leroy_etal_2009_Kape,WWGACN4G,MR,B,151,-4.5,1,FAD D,ACOUSTIC/SONIC TAG (MARK-RECAP),21,,,2007,MAR,APR,,FEE,,,,,,,
